	Cluster_0	Cluster_1	Cluster_2	Cluster_3	Cluster_4	Cluster_5	Cluster_6	Cluster_7	Cluster_8	Cluster_9
Cluster_0	0.0	0.0	0.0	0.0	233.0	0.0	0.0	0.0	395.0	0.0
Cluster_1	0.0	324.0	1.0	155.0	60.0	0.0	0.0	185.0	0.0	0.0
Cluster_2	4.0	20.0	1643.0	0.0	2.0	0.0	0.0	19.0	0.0	31.0
Cluster_3	0.0	5.0	0.0	0.0	0.0	0.0	0.0	406.0	0.0	0.0
Cluster_4	0.0	134.0	0.0	0.0	0.0	16.0	0.0	68.0	0.0	0.0
Cluster_5	0.0	199.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_6	0.0	0.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_7	0.0	159.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_8	168.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_9	0.0	0.0	851.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
