	child	parent
Cell_0	0.0	-1.0
Cell_1	1.0	-1.0
Cell_2	2.0	0.0
Cell_3	3.0	1.0
Cell_4	4.0	2.0
Cell_5	5.0	2.0
Cell_6	6.0	4.0
Cell_7	8.0	0.0
Cell_8	9.0	2.0
Cell_9	10.0	5.0
Cell_10	11.0	4.0
Cell_11	12.0	1.0
Cell_12	13.0	2.0
Cell_13	14.0	6.0
Cell_14	15.0	3.0
Cell_15	16.0	8.0
Cell_16	17.0	4.0
Cell_17	18.0	12.0
Cell_18	19.0	7.0
Cell_19	20.0	3.0
Cell_20	21.0	0.0
Cell_21	22.0	11.0
Cell_22	23.0	14.0
Cell_23	24.0	1.0
Cell_24	26.0	19.0
Cell_25	27.0	15.0
Cell_26	28.0	0.0
Cell_27	29.0	8.0
Cell_28	30.0	5.0
Cell_29	31.0	4.0
Cell_30	32.0	22.0
Cell_31	34.0	23.0
Cell_32	35.0	1.0
Cell_33	36.0	24.0
Cell_34	37.0	12.0
Cell_35	38.0	25.0
Cell_36	39.0	7.0
Cell_37	41.0	15.0
Cell_38	42.0	28.0
Cell_39	43.0	29.0
Cell_40	44.0	9.0
Cell_41	45.0	5.0
Cell_42	46.0	30.0
Cell_43	47.0	10.0
Cell_44	48.0	4.0
Cell_45	49.0	17.0
Cell_46	50.0	11.0
Cell_47	51.0	33.0
Cell_48	52.0	23.0
Cell_49	54.0	12.0
Cell_50	55.0	37.0
Cell_51	56.0	18.0
Cell_52	57.0	38.0
Cell_53	58.0	0.0
Cell_54	59.0	28.0
Cell_55	60.0	21.0
Cell_56	61.0	8.0
Cell_57	62.0	29.0
Cell_58	63.0	16.0
Cell_59	64.0	44.0
Cell_60	65.0	45.0
Cell_61	66.0	30.0
Cell_62	67.0	46.0
Cell_63	68.0	47.0
Cell_64	69.0	49.0
Cell_65	70.0	11.0
Cell_66	71.0	32.0
Cell_67	72.0	14.0
Cell_68	73.0	24.0
Cell_69	74.0	56.0
Cell_70	75.0	25.0
Cell_71	76.0	19.0
Cell_72	77.0	61.0
Cell_73	78.0	62.0
Cell_74	79.0	43.0
Cell_75	80.0	63.0
Cell_76	81.0	2.0
Cell_77	82.0	9.0
Cell_78	83.0	45.0
Cell_79	84.0	65.0
Cell_80	85.0	67.0
Cell_81	86.0	10.0
Cell_82	87.0	68.0
Cell_83	88.0	4.0
Cell_84	89.0	31.0
Cell_85	90.0	70.0
Cell_86	91.0	50.0
Cell_87	92.0	71.0
Cell_88	93.0	52.0
Cell_89	94.0	34.0
Cell_90	95.0	53.0
Cell_91	96.0	25.0
Cell_92	97.0	7.0
Cell_93	99.0	19.0
Cell_94	100.0	26.0
Cell_95	101.0	20.0
Cell_96	102.0	40.0
Cell_97	103.0	28.0
Cell_98	104.0	77.0
Cell_99	105.0	62.0
Cell_100	106.0	16.0
Cell_101	107.0	82.0
Cell_102	108.0	44.0
Cell_103	109.0	5.0
Cell_104	111.0	46.0
Cell_105	112.0	85.0
Cell_106	113.0	10.0
Cell_107	114.0	86.0
Cell_108	115.0	87.0
Cell_109	116.0	31.0
Cell_110	117.0	49.0
Cell_111	118.0	69.0
Cell_112	119.0	50.0
Cell_113	120.0	91.0
Cell_114	121.0	72.0
Cell_115	122.0	33.0
Cell_116	123.0	51.0
Cell_117	124.0	23.0
Cell_118	125.0	93.0
Cell_119	127.0	35.0
Cell_120	128.0	53.0
Cell_121	129.0	95.0
Cell_122	130.0	73.0
