	x	y	cluster
Cell_0	56.0	50.0	1.0
Cell_1	54.0	49.0	1.0
Cell_2	54.0	48.0	1.0
Cell_3	58.0	49.0	1.0
Cell_4	59.0	49.0	1.0
Cell_5	59.0	51.0	1.0
Cell_6	59.0	52.0	1.0
Cell_7	59.0	54.0	1.0
Cell_8	60.0	54.0	1.0
Cell_9	59.0	50.0	1.0
Cell_10	64.0	49.0	4.0
Cell_11	57.0	50.0	4.0
Cell_12	62.0	47.0	4.0
Cell_13	62.0	48.0	4.0
Cell_14	66.0	46.0	4.0
Cell_15	68.0	46.0	4.0
Cell_16	65.0	48.0	4.0
Cell_17	63.0	50.0	4.0
Cell_18	63.0	48.0	4.0
Cell_19	63.0	49.0	4.0
Cell_20	62.0	49.0	4.0
Cell_21	62.0	51.0	4.0
Cell_22	66.0	49.0	4.0
Cell_23	66.0	50.0	4.0
Cell_24	68.0	50.0	4.0
Cell_25	70.0	47.0	4.0
Cell_26	69.0	49.0	4.0
Cell_27	60.0	52.0	4.0
Cell_28	64.0	60.0	4.0
Cell_29	64.0	64.0	4.0
Cell_30	64.0	61.0	4.0
Cell_31	64.0	62.0	4.0
Cell_32	66.0	58.0	4.0
Cell_33	66.0	60.0	4.0
Cell_34	67.0	60.0	4.0
Cell_35	64.0	63.0	4.0
Cell_36	63.0	62.0	4.0
Cell_37	61.0	60.0	4.0
Cell_38	61.0	61.0	4.0
Cell_39	61.0	62.0	4.0
Cell_40	61.0	64.0	4.0
Cell_41	61.0	63.0	4.0
Cell_42	61.0	65.0	4.0
Cell_43	59.0	61.0	4.0
Cell_44	59.0	62.0	4.0
Cell_45	57.0	64.0	4.0
Cell_46	65.0	61.0	4.0
Cell_47	65.0	63.0	4.0
Cell_48	66.0	63.0	4.0
Cell_49	63.0	63.0	4.0
Cell_50	63.0	60.0	4.0
Cell_51	63.0	61.0	4.0
Cell_52	65.0	62.0	4.0
Cell_53	67.0	64.0	4.0
Cell_54	68.0	64.0	4.0
Cell_55	70.0	64.0	4.0
Cell_56	66.0	62.0	4.0
Cell_57	68.0	65.0	4.0
Cell_58	69.0	63.0	4.0
Cell_59	71.0	61.0	4.0
Cell_60	61.0	59.0	4.0
Cell_61	60.0	48.0	4.0
Cell_62	60.0	49.0	4.0
Cell_63	58.0	50.0	4.0
Cell_64	58.0	48.0	4.0
Cell_65	61.0	42.0	4.0
Cell_66	63.0	44.0	4.0
Cell_67	65.0	44.0	4.0
Cell_68	62.0	44.0	4.0
Cell_69	63.0	43.0	4.0
Cell_70	66.0	43.0	4.0
Cell_71	68.0	43.0	4.0
Cell_72	67.0	48.0	4.0
Cell_73	65.0	47.0	4.0
Cell_74	64.0	41.0	4.0
Cell_75	64.0	44.0	4.0
