	x	y	cell_count
Spot_0	2.5	2.5	16.0
Spot_1	12.763157894736842	2.5	18.0
Spot_2	23.026315789473685	2.5	18.0
Spot_3	33.28947368421053	2.5	18.0
Spot_4	43.55263157894737	2.5	18.0
Spot_5	53.81578947368421	2.5	18.0
Spot_6	64.07894736842105	2.5	18.0
Spot_7	74.34210526315789	2.5	18.0
Spot_8	84.60526315789474	2.5	18.0
Spot_9	94.86842105263159	2.5	18.0
Spot_10	105.13157894736842	2.5	18.0
Spot_11	115.39473684210526	2.5	18.0
Spot_12	125.65789473684211	2.5	18.0
Spot_13	135.92105263157896	2.5	18.0
Spot_14	146.18421052631578	2.5	18.0
Spot_15	156.44736842105263	2.5	18.0
Spot_16	166.71052631578948	2.5	18.0
Spot_17	176.97368421052633	2.5	18.0
Spot_18	187.23684210526318	2.5	18.0
Spot_19	197.5	2.5	16.0
Spot_20	2.5	12.763157894736842	18.0
Spot_21	12.763157894736842	12.763157894736842	20.0
Spot_22	23.026315789473685	12.763157894736842	21.0
Spot_23	33.28947368421053	12.763157894736842	20.0
Spot_24	43.55263157894737	12.763157894736842	19.0
Spot_25	53.81578947368421	12.763157894736842	19.0
Spot_26	64.07894736842105	12.763157894736842	21.0
Spot_27	74.34210526315789	12.763157894736842	20.0
Spot_28	84.60526315789474	12.763157894736842	19.0
Spot_29	94.86842105263159	12.763157894736842	20.0
Spot_30	105.13157894736842	12.763157894736842	20.0
Spot_31	115.39473684210526	12.763157894736842	19.0
Spot_32	125.65789473684211	12.763157894736842	20.0
Spot_33	135.92105263157896	12.763157894736842	21.0
Spot_34	146.18421052631578	12.763157894736842	19.0
Spot_35	156.44736842105263	12.763157894736842	19.0
Spot_36	166.71052631578948	12.763157894736842	20.0
Spot_37	176.97368421052633	12.763157894736842	21.0
Spot_38	187.23684210526318	12.763157894736842	20.0
Spot_39	197.5	12.763157894736842	18.0
Spot_40	2.5	23.026315789473685	18.0
Spot_41	12.763157894736842	23.026315789473685	21.0
Spot_42	23.026315789473685	23.026315789473685	21.0
Spot_43	33.28947368421053	23.026315789473685	20.0
Spot_44	43.55263157894737	23.026315789473685	19.0
Spot_45	53.81578947368421	23.026315789473685	21.0
Spot_46	64.07894736842105	23.026315789473685	21.0
Spot_47	74.34210526315789	23.026315789473685	19.0
Spot_48	84.60526315789474	23.026315789473685	19.0
Spot_49	94.86842105263159	23.026315789473685	21.0
Spot_50	105.13157894736842	23.026315789473685	21.0
Spot_51	115.39473684210526	23.026315789473685	19.0
Spot_52	125.65789473684211	23.026315789473685	19.0
Spot_53	135.92105263157896	23.026315789473685	21.0
Spot_54	146.18421052631578	23.026315789473685	21.0
Spot_55	156.44736842105263	23.026315789473685	19.0
Spot_56	166.71052631578948	23.026315789473685	20.0
Spot_57	176.97368421052633	23.026315789473685	21.0
Spot_58	187.23684210526318	23.026315789473685	21.0
Spot_59	197.5	23.026315789473685	18.0
Spot_60	2.5	33.28947368421053	18.0
Spot_61	12.763157894736842	33.28947368421053	20.0
Spot_62	23.026315789473685	33.28947368421053	20.0
Spot_63	33.28947368421053	33.28947368421053	20.0
Spot_64	43.55263157894737	33.28947368421053	19.0
Spot_65	53.81578947368421	33.28947368421053	20.0
Spot_66	64.07894736842105	33.28947368421053	20.0
Spot_67	74.34210526315789	33.28947368421053	20.0
Spot_68	84.60526315789474	33.28947368421053	20.0
Spot_69	94.86842105263159	33.28947368421053	20.0
Spot_70	105.13157894736842	33.28947368421053	20.0
Spot_71	115.39473684210526	33.28947368421053	20.0
Spot_72	125.65789473684211	33.28947368421053	20.0
Spot_73	135.92105263157896	33.28947368421053	20.0
Spot_74	146.18421052631578	33.28947368421053	20.0
Spot_75	156.44736842105263	33.28947368421053	19.0
Spot_76	166.71052631578948	33.28947368421053	20.0
Spot_77	176.97368421052633	33.28947368421053	20.0
Spot_78	187.23684210526318	33.28947368421053	20.0
Spot_79	197.5	33.28947368421053	18.0
Spot_80	2.5	43.55263157894737	18.0
Spot_81	12.763157894736842	43.55263157894737	19.0
Spot_82	23.026315789473685	43.55263157894737	19.0
Spot_83	33.28947368421053	43.55263157894737	19.0
Spot_84	43.55263157894737	43.55263157894737	18.0
Spot_85	53.81578947368421	43.55263157894737	19.0
Spot_86	64.07894736842105	43.55263157894737	19.0
Spot_87	74.34210526315789	43.55263157894737	19.0
Spot_88	84.60526315789474	43.55263157894737	19.0
Spot_89	94.86842105263159	43.55263157894737	19.0
Spot_90	105.13157894736842	43.55263157894737	19.0
Spot_91	115.39473684210526	43.55263157894737	19.0
Spot_92	125.65789473684211	43.55263157894737	19.0
Spot_93	135.92105263157896	43.55263157894737	19.0
Spot_94	146.18421052631578	43.55263157894737	19.0
Spot_95	156.44736842105263	43.55263157894737	18.0
Spot_96	166.71052631578948	43.55263157894737	19.0
Spot_97	176.97368421052633	43.55263157894737	19.0
Spot_98	187.23684210526318	43.55263157894737	19.0
Spot_99	197.5	43.55263157894737	18.0
Spot_100	2.5	53.81578947368421	18.0
Spot_101	12.763157894736842	53.81578947368421	19.0
Spot_102	23.026315789473685	53.81578947368421	21.0
Spot_103	33.28947368421053	53.81578947368421	20.0
Spot_104	43.55263157894737	53.81578947368421	19.0
Spot_105	53.81578947368421	53.81578947368421	21.0
Spot_106	64.07894736842105	53.81578947368421	21.0
Spot_107	74.34210526315789	53.81578947368421	20.0
Spot_108	84.60526315789474	53.81578947368421	19.0
Spot_109	94.86842105263159	53.81578947368421	21.0
Spot_110	105.13157894736842	53.81578947368421	21.0
Spot_111	115.39473684210526	53.81578947368421	19.0
Spot_112	125.65789473684211	53.81578947368421	20.0
Spot_113	135.92105263157896	53.81578947368421	21.0
Spot_114	146.18421052631578	53.81578947368421	21.0
Spot_115	156.44736842105263	53.81578947368421	19.0
Spot_116	166.71052631578948	53.81578947368421	20.0
Spot_117	176.97368421052633	53.81578947368421	21.0
Spot_118	187.23684210526318	53.81578947368421	19.0
Spot_119	197.5	53.81578947368421	18.0
Spot_120	2.5	64.07894736842105	18.0
Spot_121	12.763157894736842	64.07894736842105	21.0
Spot_122	23.026315789473685	64.07894736842105	21.0
Spot_123	33.28947368421053	64.07894736842105	20.0
Spot_124	43.55263157894737	64.07894736842105	19.0
Spot_125	53.81578947368421	64.07894736842105	21.0
Spot_126	64.07894736842105	64.07894736842105	21.0
Spot_127	74.34210526315789	64.07894736842105	19.0
Spot_128	84.60526315789474	64.07894736842105	18.0
Spot_129	94.86842105263159	64.07894736842105	21.0
Spot_130	105.13157894736842	64.07894736842105	21.0
Spot_131	115.39473684210526	64.07894736842105	18.0
Spot_132	125.65789473684211	64.07894736842105	19.0
Spot_133	135.92105263157896	64.07894736842105	21.0
Spot_134	146.18421052631578	64.07894736842105	21.0
Spot_135	156.44736842105263	64.07894736842105	19.0
Spot_136	166.71052631578948	64.07894736842105	20.0
Spot_137	176.97368421052633	64.07894736842105	21.0
Spot_138	187.23684210526318	64.07894736842105	21.0
