	chr	start	end
Gene_0	chr1	0	949
Gene_1	chr1	949	2643
Gene_2	chr1	2643	3813
Gene_3	chr1	3813	4909
Gene_4	chr1	4909	5044
Gene_5	chr1	5044	5835
Gene_6	chr1	5835	7681
Gene_7	chr1	7681	8811
Gene_8	chr1	8811	9639
Gene_9	chr1	9639	9953
Gene_10	chr1	9953	10915
Gene_11	chr1	10915	12631
Gene_12	chr1	12631	13542
Gene_13	chr1	13542	13997
Gene_14	chr1	13997	14286
Gene_15	chr1	14286	15725
Gene_16	chr1	15725	17261
Gene_17	chr1	17261	18728
Gene_18	chr1	18728	20081
Gene_19	chr1	20081	21435
Gene_20	chr1	21435	23114
Gene_21	chr1	23114	24573
Gene_22	chr1	24573	26400
Gene_23	chr1	26400	26608
Gene_24	chr1	26608	27933
Gene_25	chr1	27933	29787
Gene_26	chr1	29787	30918
Gene_27	chr1	30918	32219
Gene_28	chr1	32219	33482
Gene_29	chr1	33482	34677
Gene_30	chr1	34677	34718
Gene_31	chr1	34718	35947
Gene_32	chr1	35947	37446
Gene_33	chr1	37446	38777
Gene_34	chr1	38777	38798
Gene_35	chr1	38798	40136
Gene_36	chr1	40136	41952
Gene_37	chr1	41952	42500
Gene_38	chr1	42500	44419
Gene_39	chr1	44419	44967
Gene_40	chr1	44967	46584
Gene_41	chr1	46584	46967
Gene_42	chr1	46967	48431
Gene_43	chr1	48431	48794
Gene_44	chr1	48794	50109
Gene_45	chr1	50109	50663
Gene_46	chr1	50663	50731
Gene_47	chr1	50731	50932
Gene_48	chr1	50932	51386
Gene_49	chr1	51386	52220
Gene_50	chr1	52220	53286
Gene_51	chr1	53286	55196
Gene_52	chr1	55196	55366
Gene_53	chr1	55366	55694
Gene_54	chr1	55694	56638
Gene_55	chr1	56638	56652
Gene_56	chr1	56652	58508
Gene_57	chr1	58508	59220
Gene_58	chr1	59220	59695
Gene_59	chr1	59695	61348
Gene_60	chr1	61348	61986
Gene_61	chr1	61986	63456
Gene_62	chr1	63456	63832
Gene_63	chr1	63832	65284
Gene_64	chr1	65284	67148
Gene_65	chr1	67148	67576
Gene_66	chr1	67576	68798
Gene_67	chr1	68798	69449
Gene_68	chr1	69449	71373
Gene_69	chr1	71373	73108
Gene_70	chr1	73108	73596
Gene_71	chr1	73596	75203
Gene_72	chr1	75203	76728
Gene_73	chr1	76728	77330
Gene_74	chr1	77330	78730
Gene_75	chr1	78730	80184
Gene_76	chr1	80184	81193
Gene_77	chr1	81193	81755
Gene_78	chr1	81755	82490
Gene_79	chr1	82490	84100
Gene_80	chr1	84100	84379
Gene_81	chr1	84379	84428
Gene_82	chr1	84428	84724
Gene_83	chr1	84724	85132
Gene_84	chr1	85132	86752
Gene_85	chr1	86752	88538
Gene_86	chr1	88538	88837
Gene_87	chr1	88837	89629
Gene_88	chr1	89629	90451
Gene_89	chr1	90451	92031
Gene_90	chr1	92031	93102
Gene_91	chr1	93102	93590
Gene_92	chr1	93590	94173
Gene_93	chr1	94173	94792
Gene_94	chr1	94792	95395
Gene_95	chr1	95395	96762
Gene_96	chr1	96762	98434
Gene_97	chr1	98434	99442
Gene_98	chr1	99442	100000
Gene_99	chr1	100000	101010
